RIVER_NAME,Station_ID,Temperature(c),PH(m),DO(Mg/L),Salinity(ppt),TDS(Mg/L),EC(MicroS)/cm,FE(Mg/L),CI(Mg/L)
Lakhya,SW180,30.4,6.9,1.44,0.4,473,946,0.34,95
Tongi Khal,SW299,31.2,6.59,20.1,0.3,394,788,80,0.17
Balu,SW7.5,31.2,6.75,10.54,0.4,464,927,0.01,90
Buriganga,SW42,31.01,6.72,5.42,0.4,467,933,0.06,91
Lakhya,SW180,31.2,7.14,3.85,0.4,438,875,0.62,85
Buriganga,SW42,29.1,7.06,0.55,0,68.8,137.5,0.37,14.5
Balu,SW7.5,26.2,6.85,7.58,0.4,426,851,0.08,85
Buriganga,SW42,26.1,7.05,6.14,0.4,397,793,0.08,80
Tongi Khal,SW299,26.5,7.22,10.92,0.4,441,882,0.1,88
Lakhya,SW180,26,7.44,6.64,0.4,399,798,0.1,80
Balu,SW7.5,24.8,6.9,8.27,0.4,396,793,0.05,80
Buriganga,SW42,24.7,6.98,4.74,0.3,329,659,0.06,66
Tongi Khal,SW299,24.7,7.21,21.5,0.3,354,708,0.05,70
Lakhya,SW180,24.8,7.13,4.99,0.3,322,645,0.06,64
Buriganga,SW42,22.1,7.1,2.08,0.2,255,512,0.26,48
Balu,SW7.5,22.2,7.2,0.61,0.2,193,386,0.2,35
Lakhya,SW180,22.2,7,6.05,0.2,238,477,0.64,45
Tongi Khal,SW299,22.1,7.12,2.91,0.2,256,511,0.23,46
Balu,SW7.5,22,7.15,0.53,0.1,135.1,270,0.35,27
Buriganga,SW42,22,7.1,0.52,0.1,120.7,241,0.2,24
Tongi Khal,SW299,21.9,7.12,0.51,0.1,114.2,228,0.6,22.5
Lakhya,SW180,21.9,7,0.35,0.1,109.8,220,0.7,22
Balu,SW7.5,20.5,0.1,104,0.1,104,208,0.3,20.5
Buriganga,SW42,20.5,0,71,0,71,142,0.15,15.95
Tongi Khal,SW299,20.6,0,63.7,0,63.7,127.5,0.55,12
Lakhya,SW180,20.6,0,94.8,0,94.8,189.6,0.65,18.5
Balu,SW7.5,25.8,6.28,0.24,0,112.6,225,0.25,22
Buriganga,SW42,25.7,6.82,0.2,0,80.2,160.3,0.1,17.75
Tongi Khal,SW299,25.8,6.57,0.34,0,89.9,179.8,0.45,16
Lakhya,SW180,25.9,6.53,0.18,0,108.4,217,0.5,20
Balu,SW7.5,27.9,6.2,0.26,0,74.7,149.4,0.2,15
Buriganga,SW42,28.1,6.56,0.43,0,81,162,0.07,15.75
Lakhya,SW180,27.9,6.78,0.3,0,66.4,132.7,0.48,12
Tongi Khal,SW299,27.9,6.29,0.29,0,58.7,117.3,0.4,12
Buriganga,SW42,27.7,6.79,0.35,0,65.7,131.5,0.49,13
Balu,SW7.5,27.5,6.07,0.18,0,92,183.9,0.13,20
Tongi Khal,SW299,27.8,6.61,0.22,0,54.6,109.3,0.52,10
Tongi Khal,SW299,27.8,6.61,0.22,0,54.6,109.3,10,0.52
Lakhya,SW180,27.7,6.25,0.2,0,54.6,109.3,0.52,10
Balu,SW7.5,28.8,6.74,1.57,0.1,154.8,310,0.37,35
Buriganga,SW42,29.3,6.77,0.52,0,94.6,189.1,0.25,19.75
Lakhya,SW180,29,4.26,3.16,0.1,167.5,335,0.96,25
Tongi Khal,SW299,29.1,6.51,1.24,0,96.4,192.8,0.43,20
Buriganga,SW42,28.9,6.86,1.22,0.1,156,312,0.24,30
Balu,SW7.5,29.2,6.61,3.85,0.2,241,482,0.33,76
Tongi Khal,SW299,28.4,7.09,0.31,0,85.8,171.6,0.13,17
Lakhya,SW180,28.4,6.4,4.55,0.4,410,820,0.38,7.5
Balu,SW7.5,28.1,6.1,0.88,0.4,412,825,0.34,98
Buriganga,SW42,28.1,6.29,4.7,0.5,512,1025,0.38,95
Tongi Khal,SW299,28.2,6.37,2.27,0.3,332,664,3.36,70
Lakhya,SW180,28.1,6.24,2.21,0.4,453,9.6,0.21,103
Balu,SW7.5,27,6.27,5,0.4,468,935,0.5,5
Buriganga,SW42,27,6.24,1.99,0.4,468,936,0.37,1.99
Lakhya,SW180,27.06,6.6,3.54,0.4,440,880,0.86,3.54
Tongi Khal,SW299,27.7,6.26,2.06,0.3,370,740,0.1,2.06
Buriganga,SW42,27.6,6.53,7.26,0.2,278,557,0.32,55.7
Balu,SW7.5,27.8,6.54,7.01,0.4,437,874,0.46,87.4
Lakhya,SW180,27.8,6.88,5.02,0.2,245,490,0.81,48.5
Tongi Khal,SW299,27.8,6.43,2.76,0.4,423,845,0.3,88.9
Balu,SW7.5,20.1,7.41,3.88,0.3,357,714,0.67,78
Buriganga,SW42,20.1,6.11,2.45,0.4,377,754,0.39,80
Tongi Khal,SW299,20.2,6.29,0.27,0.4,378,756,0.1,80
Lakhya,SW180,20.1,6.39,2.43,0.3,307,613,0.45,71
Balu,SW7.5,22.7,6.64,7.91,0.3,334,668,0.58,93
Balu,SW7.5,22.7,6.64,7.91,0.3,334,668,0.58,93
Buriganga,SW42,22.7,7.28,5.23,0.3,307,614,0.34,87
Buriganga,SW42,22.7,7.28,5.23,0.3,307,614,0.34,87
Lakhya,SW180,22.7,6.55,2.94,0.2,245,489,0.35,48
Tongi Khal,SW299,22.6,6.53,1.19,0.3,307,615,0.34,88
Tongi Khal,SW299,22.6,6.53,1.19,0.3,307,615,0.34,88
Lakhya,SW180,22.7,2.94,0.2,245,489,487.27,48,49.04
Balu,SW7.5,27,6.87,4.22,0.1,174.9,350,1.05,47.8
Buriganga,SW42,27,6.87,6.85,0.1,172,344,0.52,47.5
Lakhya,SW180,27.06,6.98,2.92,0.1,164.3,328,0.51,45
Tongi Khal,SW299,27.7,6.98,0.89,0.1,164.6,329,0.1,45.3
Balu,SW7.5,27,7.11,0.75,0,82.6,165.2,0.46,24
Buriganga,SW42,27,7.63,2.48,0,87.8,178.6,0.27,11
Lakhya,SW180,27.06,7.35,2.12,0,84.3,168.5,0.29,24.25
Tongi Khal,SW299,27.7,7.16,0.49,0,57.6,115.2,0.35,15
Balu,SW7.5,27,7.36,0.83,0,82.7,165.3,0.11,23.25
Buriganga,SW42,27,7.86,1.15,0,91.8,183.6,0.65,11.5
Tongi Khal,SW299,27.7,7.78,1.42,0,64.1,128.2,0.18,17.9
Lakhya,SW180,27.06,7.54,1.25,0,68,135.9,0.19,20.5
Balu,SW7.5,27,6.66,0.73,0,78.6,157.2,0.22,25
Buriganga,SW42,27,7.46,0.91,0,89.6,179.2,0.53,23
Tongi Khal,SW299,27.7,7.26,0.47,0,54.4,108.9,0.42,21
Lakhya,SW180,27.06,7.02,2.21,0,85.4,107.8,0.53,22
Balu,SW7.5,27,6.81,2.71,0,110.9,222,0.8,39.25
Buriganga,SW42,27,6.86,2.42,0,79.1,158.3,0.46,29
Lakhya,SW180,27.06,7.07,1.84,0,63.3,130.5,0.7,24
Tongi Khal,SW299,27.7,7.05,0.44,0,58.5,117.1,0.42,12.9
Balu,SW7.5,27,7.38,0.55,0,75,150,0.03,26.25
Buriganga,SW42,27,7,5.1,0.1,198,395,0.06,12.1
Tongi Khal,SW299,27.7,7.32,0.67,0,95,190,0.03,29.5
Lakhya,SW180,27.06,7.33,0.59,0,86.7,173,0.25,32.5
Balu,SW7.5,27,7.06,5.58,0.2,268,536,0.03,49.43
Tongi Khal,SW299,27.7,7.19,7.38,0.3,347,694,0,50.4
Buriganga,SW42,27,7.56,5,0.4,464,929,0.03,49.43
Lakhya,SW180,27.06,7.54,6.2,0.2,229,457,0.27,
Buriganga,SW42,27,7.36,1.66,0.4,436,872,0.6,158
Balu,SW7.5,27,7.98,3.15,0.5,496,992,0.1,145
Tongi Khal,SW299,27.7,7.98,2.53,0.5,554,1109,0,134
Lakhya,SW180,27.06,7.73,1.84,0.4,414,829,0.13,128
Balu,SW7.5,27,7.56,12.5,0.4,439,879,0,108
Buriganga,SW42,27,7.39,10.76,0.4,488,976,0,134
Tongi Khal,SW299,27.7,7.34,3.59,0.5,548,1096,0.31,135
Lakhya,SW180,27.06,7.69,2.45,0.4,402,803,0.01,120
Buriganga,SW42,27,7.38,15.5,0.4,406,813,0.02,100
Balu,SW7.5,27,7.56,1.21,0.3,306,612,0.02,40
Lakhya,SW180,27.06,7.59,18.9,0.4,450,899,0.16,98
Tongi Khal,SW299,27.7,6.9,12.27,0.5,503,1005,0.06,103
Buriganga,SW42,27,7.25,21.3,0.3,389,778,0.3,103
Balu,SW7.5,27,7.41,5.3,0.2,279,559,0.26,41
Lakhya,SW180,27.06,7.44,20.4,0.3,350,699,0.12,84
Tongi Khal,SW299,27.7,7.62,3.4,0,70,140.1,0,9.5
Balu,SW7.5,27,7.21,2.39,0.2,2.03,4.06,0.09,70
Balu,SW7.5,27,7.21,2.39,0.2,203,406,0.29,70
Buriganga,SW42,27,7.08,1.73,0.3,306,612,0.21,112
Buriganga,SW42,27,7.08,1.73,0.3,306,612,0.21,112
Tongi Khal,SW299,27.7,7.03,14.02,0.3,325,649,0.09,67
Tongi Khal,SW299,27.7,7.03,14.02,0.3,325,649,0.09,67
Lakhya,SW180,27.06,7.1,5.13,0.2,282,564,0.12,70
Lakhya,SW180,27.06,7.1,5.13,0.2,282,564,0.12,70
Tongi Khal,SW299,27.7,6.67,12.27,0.27,238.17,493.64,0.49,50.4
Tongi Khal,SW299,27.7,6.67,1.55,0.1,117.8,236,0.48,17.5
Tongi Khal,SW299,27.7,6.67,1.55,0.1,117.8,236,0.48,17.5
Balu,SW7.5,27,6.76,12.94,0.1,154.7,310,0.11,42.5
Balu,SW7.5,27,6.76,12.94,0.1,154.7,310,0.11,42.5
Buriganga,SW42,27,7.06,3.19,0.1,44,87.9,0.03,11.6
Buriganga,SW42,27,7.07,3.19,0.1,44,87.9,0.03,11.6
Lakhya,SW180,27.06,6.61,11.52,0.1,174,349,0.12,36
Lakhya,SW180,27.06,6.61,11.52,0.1,174,349,0.12,36
Balu,SW7.5,27,6.94,1.66,0.1,116.3,234,0.01,6.6
Balu,SW7.5,27,6.94,1.66,0.1,116.3,234,0.01,6.6
Buriganga,SW42,27,7.78,1.22,0,80.8,161.5,0.02,28.5
Buriganga,SW42,27,7.78,1.22,0,80.8,161.5,0.02,28.5
Lakhya,SW180,27.06,6.89,1.44,0,59.1,118.6,0.64,12.8
Lakhya,SW180,27.06,6.89,1.44,20,59.1,118.6,0.34,12.8
Tongi Khal,SW299,27.7,6.94,1.38,0,69,138.1,0.03,21.5
Tongi Khal,SW299,27.7,6.94,1.38,0,69,138.1,0.03,21.5
Balu,SW7.5,27,6.11,3.59,0,99.5,199,0.2,21.75
Balu,SW7.5,27,6.11,3.59,0,99.5,199,0.2,21.75
Buriganga,SW42,27,5.98,1.68,0,83.1,166.2,0.27,7.75
Buriganga,SW42,27,5.98,1.68,0,83.1,166.2,0.27,7.75
Tongi Khal,SW299,27.7,6.54,4.67,0,67.9,135.8,0.01,9.5
Tongi Khal,SW299,27.7,6.54,4.67,0,67.9,135.8,0.01,9.5
Lakhya,SW180,27.06,6.66,4.4,0,79.1,158.2,0.1,12
Lakhya,SW180,27.06,6.66,4.4,0,79.1,158.2,0.1,12
Buriganga,SW42,27,7.29,8.24,0,84.2,168.2,0.03,11.75
Balu,SW7.5,27,6.58,5.42,0,117.1,234,0.22,18.75
Balu,SW7.5,27,6.58,5.42,0,117.1,234,0.22,18.75
Tongi Khal,SW299,27.7,6.66,4.85,0,65.3,130.7,0.05,6
Tongi Khal,SW299,27.7,6.66,4.85,0,65.3,130.7,0.05,6
Lakhya,SW180,27.06,6.67,2.62,0,91.3,182.2,0.05,13.25
Lakhya,SW180,27.06,6.67,2.62,0,91.3,182.2,0.05,13.25
Balu,SW7.5,27,6.82,2.07,0,121.1,242,0.38,27.5
Balu,SW7.5,27,6.82,2.07,0,121.1,242,0.38,27.5
Lakhya,SW180,27.06,6.67,1.82,0,96.6,193.5,0.65,17.75
Lakhya,SW180,27.06,6.67,1.82,0,96.6,193.2,0.65,17.75
Buriganga,SW42,27,7.38,2.62,0,127,255,0.12,25.75
Buriganga,SW42,27,7.38,2.62,0,127,255,0.12,25.75
Tongi Khal,SW299,27.7,6.7,1.7,0,68.7,137.4,0.22,12.75
Tongi Khal,SW299,27.7,6.7,1.7,0,68.7,137.4,0.22,12.75
Balu,SW7.5,27,7.25,0.61,0.4,414,828,0.01,105
Buriganga,SW42,27,7.14,3.63,0.3,312,619,0.03,72
Lakhya,SW180,27.06,7.39,0.37,0.4,455,910,0.04,114
Tongi Khal,SW299,27.7,7.21,0.07,0.6,613,1126,0.03,130
Balu,SW7.5,27,7.08,0.69,0.5,527,1054,0.08,150
Buriganga,SW42,27,7.33,0.28,0.5,568,1136,0.01,172
Tongi Khal,SW299,27.7,7.31,1.8,0.7,780,1481,0.14,312.5
Lakhya,SW180,27.06,7.41,0.21,0.5,572,1144,0.06,142
Balu,SW7.5,27,7.07,2.34,0,528,1057,0.01,125
Buriganga,SW42,27,7.04,1.66,0.4,437,874,0.03,116
Tongi Khal,SW299,27.7,7.06,8.83,0.5,505,1010,0,99
Lakhya,SW180,27.06,7.31,1.1,0.3,367,733,0.06,108
Buriganga,SW42,27,7.07,12.12,0.4,457,914,0.01,120
Balu,SW7.5,27,6.55,0.48,0.4,490,979,0.04,130
Lakhya,SW180,27.06,7.32,3.28,0.5,529,1059,0.07,148
Tongi Khal,SW299,27.7,7.2,0.77,0.5,539,1079,0.03,153
Lakhya,SW180,27.06,7.43,9.78,0.3,366,731,0.13,110
Buriganga,SW42,27,7.13,1.51,0.3,397,794,0.08,181
Balu,SW7.5,27,6.79,0.74,0.5,512,1023,0.06,117
Tongi Khal,SW299,27.7,7.42,0.53,0.4,484,968,0.01,130
Balu,SW7.5,27,7.75,8,0.2,278,556,0.01,70
Tongi Khal,SW299,27.7,7.86,6.6,0.3,386,771,0.01,115
Lakhya,SW180,27.06,7.58,5.1,0.2,288,577,0.01,89
Balu,SW7.5,27,7.92,5.2,0.2,214,429,0.02,142
Buriganga,SW42,27,7.85,6,0.1,183.3,367,0.01,54.25
Tongi Khal,SW299,27.7,7.92,6,0.2,298,596,0.01,67
Balu,SW7.5,27,7.94,5.2,0.1,128.4,257,0.03,35.5
Balu,SW7.5,27,7.94,5.2,0.1,128.4,257,0.03,35.5
Tongi Khal,SW299,27.7,7.67,5.1,0.1,135.6,271,0.01,20.5
Tongi Khal,SW299,27.7,7.67,5.1,0.1,135.6,271,0.01,20.5
Buriganga,SW42,27,6.67,5.2,0.01,144.5,289,0.02,53.5
Buriganga,SW42,27,7.37,5.2,0.01,144.5,289,0.02,53.5
Balu,SW7.5,27,6.95,0.9,0,93.9,187.7,0.02,17.25
Lakhya,SW180,27.06,7.2,8.9,0,95.9,191.9,0.03,18.75
Buriganga,SW42,27,7.21,7.8,0,85.6,171.6,0.03,18.75
Buriganga,SW42,27,7.21,7.8,0,85.6,171.6,0.29,49.43
Tongi Khal,SW299,27.7,7.5,7.6,0,82.5,164.5,0.03,17.25
Lakhya,SW180,27.06,7.26,7.17,0,87.9,175.8,0.03,21.25
Balu,SW7.5,27,7.2,9.66,0,87.9,175.8,0.03,21.25
Buriganga,SW42,27,7.32,6.6,0,91.4,182.8,0.29,49.43
Buriganga,SW42,27,7.32,6.6,0,91.4,182.8,0.03,21.25
Tongi Khal,SW299,27.7,7.2,6.47,0,81.6,163.1,0.03,14.5
Balu,SW7.5,27,7.48,7.2,0.1,156.1,312,0.03,37.5
Lakhya,SW180,27.06,7.45,7.88,0.1,131,262,0.03,27.25
Tongi Khal,SW299,27.7,7,6.48,0.1,174.2,348,0.03,32
Buriganga,SW42,27,7.15,7.13,0.2,259,518,0.29,49.43
Buriganga,SW42,27,7.15,7.13,0.2,259,518,3,48.25
Balu,SW7.5,27,6.71,0.2,0.2,253,506,0.29,49.43
Lakhya,SW180,27.06,6.45,1.47,0.2,221,421,0.02,38.25
Buriganga,SW42,27,6.83,0,0.4,448,896,0.03,91.5
Tongi Khal,SW299,27.7,6.85,0.6,0.3,320,640,0.03,70.63
Buriganga,SW42,27,6.83,,0.4,448,896,0.29,49.43
Balu,SW7.5,27,6.57,0,0.5,505,1010,0.02,95
Lakhya,SW180,27.06,7.62,7.04,0.4,455,910,0.03,78
Buriganga,SW42,27,7.02,0.9,0.3,335,670,0.03,88
Tongi Khal,SW299,27.7,7.12,7.46,0.4,485,971,0.03,69.25
Balu,SW7.5,27,7.14,8.29,0.4,447,894,0.03,74
Tongi Khal,SW299,27.7,6.85,0.6,0.3,320,640,0.02,65
Buriganga,SW42,27,7.15,6,0.2,269.1,539,0.02,83
Tongi Khal,SW299,27.7,7.16,5.9,0.3,331,661,0.02,61.5
Lakhya,SW180,27.06,7.12,5.6,0.2,218,413,0.02,35
Buriganga,SW42,27,6.47,6.21,0.4,463,926,0,94
Lakhya,SW180,27.06,6.27,6.5,0.3,364,728,0.02,81
Balu,SW7.5,27,6.51,0.3,0.7,732,1463,0.02,117.5
Tongi Khal,SW299,27.7,7.37,0.15,0.4,463,932,0.85,68
Buriganga,SW42,27,6.77,7.62,0.4,446,892,0.02,85
Balu,SW7.5,27,6.75,7.48,0.4,420,839,0.01,82
Lakhya,SW180,27.06,6.53,7.75,0.3,383,766,0.02,78
Tongi Khal,SW299,27.7,6.57,6.93,0.4,465,930,0.05,97
Balu,SW7.5,27,6.57,8.86,0.2,258,515,0.27,77.5
Lakhya,SW180,27.06,6.91,7.93,0.2,296,592,0.02,97.5
Buriganga,SW42,27,6.91,7.04,0.3,342,683,0.02,95
Tongi Khal,SW299,27.7,7.32,8.46,0.3,373,746,0.03,145
Balu,SW7.5,27,6.94,8.09,0.1,157.3,315,0.03,36
Buriganga,SW42,27,6.61,8.8,0.2,227,453,0.01,41.5
Buriganga,SW42,27,6.61,8.8,0.2,227,453,0.01,41.5
Lakhya,SW180,27.06,6.72,8.74,0.2,228,456,0.03,44
Tongi Khal,SW299,27.7,6.87,7.76,0.2,271,541,0.03,55
Buriganga,SW42,27,7.02,8.98,0,129.5,259,0.04,30
Lakhya,SW180,27.06,6.8,8.66,0.1,135.2,270,0.06,28.5
Tongi Khal,SW299,27.7,6.99,8.48,30,122.2,244,0.03,27.5
Balu,SW7.5,27,6.57,8.15,0.1,140.1,281,0.03,34.5
Balu,SW7.5,27,6.35,7.88,0,98.7,197.5,0.02,23.5
Buriganga,SW42,27,6.56,7.85,0,78.6,157.2,0.03,11.2
Tongi Khal,SW299,27.7,6.59,8.68,0,78.1,156.2,0.02,14.5
Lakhya,SW180,27.06,6.56,7.25,0,74.5,149.1,0.13,17.25
Balu,SW7.5,27,7.32,6.02,0,93.4,186.9,0.03,32
Buriganga,SW42,27,6.63,7.59,0,82,163.9,0.03,38.5
Lakhya,SW180,27.06,6.74,6.96,0,66.3,132.8,0.15,20
Tongi Khal,SW299,27.7,6.65,6.11,0,74.3,148.6,0.12,38.5
Buriganga,SW42,27,7.29,8.24,0,84.2,168.4,0.03,11.75
Balu,SW7.5,27,7.37,101.3,0,107.1,214,0.02,48
Tongi Khal,SW299,27.7,7.35,101.7,0,71.6,143,0.02,50.25
Balu,SW7.5,27,7.86,109.8,0,103.8,208,0.01,52.25
Lakhya,SW180,27.06,7.5,103.9,0,69.7,139.1,0.03,50.75
Buriganga,SW42,27,7.22,99.6,0.1,164.4,329,0,73
Balu,SW7.5,27,6.7,61.2,0.4,418,834,0,0
Balu,SW7.5,27,6.71,0.2,0.2,253,506,0.03,48
Buriganga,SW42,27,7.05,89.7,0.3,328,656,0,0
Lakhya,SW180,27.06,6.9,83.7,0.02,285,570,0,0
Tongi Khal,SW299,27.7,6.5,7.8,0.4,469,942,0,0
Balu,SW7.5,27,7.12,11.52,0.4,447,894,0.06,143
Tongi Khal,SW299,27.7,7.34,16.25,0.4,454,908,0.01,147
Lakhya,SW180,27.06,7.09,12.82,0.4,440,880,0.01,179
Buriganga,SW42,27,7.19,15.01,0.4,438,876,0.04,158
Balu,SW7.5,27,6.87,0.07,0.5,516,1049,0,0
Buriganga,SW42,27,7.68,0.2,0.5,501,100,0.02,171
Tongi Khal,SW299,27.7,6.82,0.03,0.4,391,799,0.04,130
Lakhya,SW180,27.06,7.36,0,0.3,372,7.63,0.03,150
Balu,SW7.5,27,7.2,7.2,0.3,390,782,0.29,72
Buriganga,SW42,27,7.3,7,0.4,460,919,0.05,44
Lakhya,SW180,27.06,8,7,0.3,359,726,0.05,62
Tongi Khal,SW299,27.7,7.6,6.6,0.4,403,805,0.05,71
Buriganga,SW42,27,7.2,6.8,0.4,402,804,0.05,24
Balu,SW7.5,27,7.5,6.5,0.4,424,848,0.29,14
Lakhya,SW180,27.06,7.4,6.3,0.2,271,542,0.05,10
Tongi Khal,SW299,27.7,7.4,6.3,0.3,351,703,0.05,13
Balu,SW7.5,27,6.9,6.4,0.2,240,479,0.29,12
Buriganga,SW42,27,7.1,6.9,0.3,318,635,0.05,25
Lakhya,SW180,27.06,7.3,7.1,0.2,232,463,0.05,14
Tongi Khal,SW299,27.7,7.2,7,0.3,319,638,0.05,16
Balu,SW7.5,27,7.4,7,0.1,162,324,0.29,14
Buriganga,SW42,27,7.3,6.4,0.1,178,357,0.05,27
Tongi Khal,SW299,27.7,7.6,7.1,0.5,488,977,0.05,77
Lakhya,SW180,27.06,7.4,6.5,0.1,154,309,0.05,18
Balu,SW7.5,27,7.5,6.7,0,90,180,0.29,27
Buriganga,SW42,27,7.3,6.8,0,112,224,0.05,30
Lakhya,SW180,27.06,7.5,7.3,0,79,157,0.05,32
Tongi Khal,SW299,27.7,7.5,7.1,0,73,146,0.05,26
Buriganga,SW42,27,7.4,7.9,0,67,135,0.05,21
Lakhya,SW180,27.06,7.6,8.2,0,64,127,0.05,30
Tongi Khal,SW299,27.7,7.4,7.7,0,60,121,0.05,22
Balu,SW7.5,27,7.4,7.7,0,100,201,0.05,29
Balu,SW7.5,27,7.6,8,0,112,224,0.05,37
Buriganga,SW42,27,7.6,8.4,0.1,130,261,0.05,25
Lakhya,SW180,27.06,8.3,8.5,0,78,156,0.05,24
Tongi Khal,SW299,27.7,8,7.9,0,73,147,0.05,22
Buriganga,SW42,27,7.6,9.2,0.1,131,262,0.44,65
Balu,SW7.5,27,7.2,7.8,0,51,102,0.05,69
Tongi Khal,SW299,27.7,7.5,8.9,0,60,120,0.24,30
Lakhya,SW180,27.06,7.6,8.6,0,87,174,0.05,29
Lakhya,SW180,27.06,7.1,6.3,0.2,288,577,0.14,25
Balu,SW7.5,27,6.8,4.5,0.4,593,789,0.32,16
Balu,SW7.5,27,6.8,4.5,0.4,393,789,0.32,16
Buriganga,SW42,27,6.8,2.6,0.6,598,1199,0.05,26
Tongi Khal,SW299,27.7,6.6,2.4,0.5,555,1114,0.2,30
Tongi Khal,SW299,27.7,6.6,2.4,0.27,555,1114,0.2,30
Balu,SW7.5,27,7.4,3.2,0.5,518,1031,0.21,23
Buriganga,SW42,27,7.3,2.6,0.4,390,781,0.05,18
Lakhya,SW180,27.06,7.6,3.7,0.3,379,758,0.25,30
Tongi Khal,SW299,27.7,7.4,2.25,0.4,445,891,0.31,27
Balu,SW7.5,27,7.4,3,0.5,518,1031,0.3,21
Buriganga,SW42,27,7.2,2,0.3,389,780,0.05,20
Lakhya,SW180,27.06,7.6,4,0.3,379,758,0.2,32
Tongi Khal,SW299,27.7,7.4,2.2,0.4,445,891,0.2,30
Buriganga,SW42,27,7.19,1.58,0.2,260,520,0.53,51
Tongi Khal,SW299,27.7,7.85,3.06,0.1,160,493.64,0.05,34
Balu,SW7.5,27,7.3,1.99,0.3,297,594,0.13,77
Lakhya,SW180,27.06,7.12,2.92,0,74,148,0.16,13
Buriganga,SW42,27,7.06,7.05,0.1,144,287,0.05,30
Lakhya,SW180,27.06,7.1,6.98,0,143,286,0.08,29
Tongi Khal,SW299,27.7,6.96,5.21,0.4,427,854,0.05,11
Balu,SW7.5,27,7.69,2.34,0.2,290,579,0.1,7.5
Buriganga,SW42,27,7.3,7.09,0.4,396,792,0.1,99
Balu,SW7.5,27,6.83,6.27,0.3,321,642,0.17,8
Lakhya,SW180,27.06,7.25,7.03,0.1,143,287,0.15,143
Tongi Khal,SW299,27.7,7.08,4.18,0.5,533,1066,0.28,129
Tongi Khal,SW299,27.7,7.2,1.23,0.4,474,948,0.05,59
Lakhya,SW180,27.06,6.9,0.81,0.2,247,495,0.06,50
Balu,SW7.5,27,7.8,4.21,0.3,390,780,0.05,72
Balu,SW7.5,27,7.8,4.21,0.3,390,780,0.05,72
Buriganga,SW42,27,7.3,0.95,0.5,539,1086,0.05,102
Balu,SW7.5,27,7,2.18,0.3,326,652,0.06,76
Balu,SW7.5,27,7,2.18,0.3,326,652,0.06,76
Buriganga,SW42,27,7,1.59,0.4,431,862,0.32,48
Tongi Khal,SW299,27.7,6.7,1.95,0.4,355,710,0.05,85
Lakhya,SW180,27.06,8,1.8,0.1,200,401,0.05,54
Buriganga,SW42,27,7.3,1.08,0.5,504,1008,0.05,15
Lakhya,SW180,27.06,7,3.77,0.1,176,352,0.05,50
Tongi Khal,SW299,27.7,7,1.21,0.4,421,842,0.12,105
Balu,SW7.5,27,7.3,1.51,0.3,342,683,0.09,70
Buriganga,SW42,27,6.8,1.14,0.4,415,830,0.91,78
Balu,SW7.5,27,6.4,3.78,0.2,238,475,0.96,45
Lakhya,SW180,27.06,6.7,0.69,0.2,236,471,0.96,41
Tongi Khal,SW299,27.7,7.6,6.33,0.2,270,540,0.88,75
Buriganga,SW42,27,7.5,6.98,0.1,171.2,342,0.57,50
Balu,SW7.5,27,6.7,0.76,0.3,386,772,0.86,70
Lakhya,SW180,27.06,6.6,0.65,0.2,226,453,0.64,36
Tongi Khal,SW299,27.7,7.7,6.62,0.4,408,816,0.63,105
Buriganga,SW42,27,7.5,6.22,0.1,170,340,0.14,50
Tongi Khal,SW299,27.7,7.6,6.38,0.2,270,541,0.18,65
Balu,SW7.5,27,6.8,4.45,0.4,394,789,0.48,80
Lakhya,SW180,27.06,6.5,1.23,0.3,377,6754,0.52,74
Dhaleswari,SW70,28,7.5,8.02,0.2,42,407,0.1,49
Dhaleswari,SW69,28,7.3,8,0.15,31,285.5,0.2,35
Balu,SW7.5,29,7.19,8.12,0.1,27,180,0.8,25
Lakhya,SW180,29,7.2,8.2,0.1,41,448.8,0.1,30
Lakhya,SW179,29,7.9,8.1,0.1,226,448,0.8,14
Dhaleswari,SW69,31,7.3,8.08,0.6,32,285.5,0.26,35
Dhaleswari,SW70,31,7.6,8,0.2,31,407,0.1,49
Tongi Khal,SW299,31,7.8,8.25,0.4,38,390,0.55,22
Buriganga,SW42,26,7.3,8.22,0.2,45,450,0.8,43
Balu,SW7.5,26,7.15,8.13,0.3,27,180,1,25
Lakhya,SW180,28,7.6,8.15,0.14,41,440,0.1,30
Lakhya,SW179,27.06,7.19,8.07,0.16,170.47,421.97,0.72,
Dhaleswari,SW70,30,7.8,8.1,0.2,32,407,0.1,49
Dhaleswari,SW69,30,7.3,8.1,0.5,31,285.5,0.28,25
Buriganga,SW42,28,7.2,8.25,0.3,45,450,0.9,42
Balu,SW7.5,28,7.16,8.16,0.35,25,180,1.41,24
Lakhya,SW180,27,7.5,8.13,0.15,220,444,0.12,30
Lakhya,SW179,27,7.6,8.12,0.15,34.8,58,1.41,16
Dhaleswari,SW69,30,7.3,8.08,0.5,31,285.5,0.28,15
Dhaleswari,SW70,30,7.5,8.02,0.1,35,407,0.1,45
Tongi Khal,SW299,30,7.5,8.3,0.5,35,385,0.65,25
Balu,SW7.5,29,7.1,8.17,0.4,27,180,0.46,23
Buriganga,SW42,29,7.5,8.1,0.5,44,460,1,40
Lakhya,SW180,30,7.4,8.15,0.15,223,442,0.12,30
Lakhya,SW179,30,8,8.12,0.2,19,65,0.6,14
