RIVER_NAME,Station_ID,Temperature(c),PH(m),DO(Mg/L),Salinity(ppt),TDS(Mg/L),EC(MicroS)/cm,FE(Mg/L),CI(Mg/L)
Turag,SW302,27.31,7.37,4.67,0.1,208,417,0.3,45.22
Turag,SW302,27.31,7.53,0.56,0.7,707,1415,0.04,287.5
Turag,SW302,30.4,6.7,1.07,0.2,307,613,0.08,60.5
Turag,SW302,28.7,7.22,0.49,0,81.8,163.5,0.19,15.75
Turag,SW302,27.31,6.89,1.1,0.6,616,1231,0.03,97.5
Turag,SW302,27.31,7.04,7.49,0.3,302,605,0.05,71
Turag,SW302,29,7,8.2,0.15,52,618,0.2,45
Turag,SW302,27.31,7.01,14.8,0.3,401,801,0.03,155
Turag,SW302,27,7.4,6.92,0.14,4.83,964,1,103
Turag,SW302,30.5,6.22,4.3,0.38,0.43,165.2,0.56,45.22
Turag,SW302,29.93,6.93,4.12,0.11,0.17,273.6,0.56,45.22
Turag,SW302,26,8.9,0.07,0.4,405,810,1.24,90
Turag,SW302,29.85,8.82,5.67,0.09,0.13,213.3,0.56,45.22
Turag,SW302,27.31,6.44,1.81,0.5,512,1025,0.01,8.7
Turag,SW302,27.31,7.1,0.34,0.5,562,1124,0.03,146
Turag,SW302,30,7.1,8.24,0.4,52,615,0.2,15
Turag,SW302,31.1,6.72,7.96,0.4,472,944,0.02,95
Turag,SW302,27.31,6.24,1.99,0.4,468,936,0.37,1.99
Turag,SW302,27.31,7.62,9.41,0.6,604,1208,0,141
Turag,SW302,27.31,7.4,2.3,0.5,558,1116,0.05,23
Turag,SW302,27.31,7,1.48,0.4,485,971,0.09,88
Turag,SW302,26,7.5,7,0.1,2.54,709,0,99
Turag,SW302,29,736,0.08,0.5,455,960,1.26,97
Turag,SW302,31.05,7.93,2.8,0.05,0.06,93.8,0.56,45.22
Turag,SW302,31.04,7.59,5.89,0.05,0.08,126.3,0.56,45.22
Turag,SW302,28.8,6.9,0.64,0.1,212,424,0.27,43
Turag,SW302,27.31,6.8,23.1,0.4,489,979,0,0
Turag,SW302,27.31,7.08,3.49,0.1,180.5,361,0.56,45.22
Turag,SW302,27.31,7.08,3.49,0.1,180.5,361,0.02,34.25
Turag,SW302,30,7,8,0.1,51,618.2,0.2,51
Turag,SW302,29.2,6.75,0.43,0,75.3,150.7,0.47,15
Turag,SW302,27.31,7.21,0.89,0,104,208,0.03,30.75
Turag,SW302,27.31,7.01,1.21,0.6,620,1240,0.02,176
Turag,SW302,27.31,7.25,2.57,0.1,132,263,0.78,24
Turag,SW302,26,7.4,6.92,0.1,4.83,965,1,103
Turag,SW302,28.9,4.64,4.3,0,0.52,142.8,1,3
Turag,SW302,28.9,4.65,31.2,0,0.52,142,1,3
Turag,SW302,30.01,7.87,5.14,0.05,0.06,103.4,0.56,45.22
Turag,SW302,27.8,6.47,0.3,0,56.9,113.9,0.25,12
Turag,SW302,28.9,6.44,0.94,0,59.7,119.3,0.52,11.5
Turag,SW302,30.01,7.88,6.91,0.05,0.06,99,0.56,45.22
Turag,SW302,27.31,7.4,8.6,0,86,174,0.9,32
Turag,SW302,27.31,7.13,0.68,0,60.3,120.6,0,12.4
Turag,SW302,27.31,7.04,4.87,0,67.7,135.4,0.16,11
